Capitol Building,0600901
City Hall,0600902
Courthouse,0600903
Fire Station,0600904
Monument or Landmark,0600905
Police Station,0600906
Library,0601000
Medical Center,0601100
Dentist's Office,0601101
Doctor's Office,0601102
Emergency Room,0601103
Hospital,0601104
Laboratory,0601105
Optical Shop,0601106
Veterinarian,0601107
Military Base,0601200
Office,0601300
Cafeteria,0601301
Conference Room,0601302
Coworking Space,0601303
Tech Startup,0601304
Parking,0601400
Post Office,0601500
Religious Center,0601600
Church,0601601
Mosque,0601602
Shrine,0601603
Synagogue,0601604
Temple,0601605
School,0601700
Elementary School,0601701
High School,0601702
Middle School,0601703
Music School,0601704
Nursery School,0601705
Voting Booth,0601800
Residence,0700000
Home (private),0700100
Housing Development,0700200
Residential Building (Apartment/Condo),0700300
Shop & Service,0800000
Antique Shop,0800100
Arts & Crafts Store,0800200
Automotive Shop,0800300
Bank,0800400
Bike Shop,0800500
Board Shop,0800600
Bookstore,0800700
Bridal Shop,0800800
Camera Store,0800900
Candy Store,0801000
Car Dealership,0801100
Car Wash,0801200
Clothing Store,0801300
Accessories Store,0801301
Boutique,0801302
Kids Store,0801303
Lingerie Store,0801304
Men's Store,0801305
Shoe Store,0801306
Women's Store,0801307
Convenience Store,0801400
Cosmetics Shop,0801500
Daycare,0801600
Department Store,0801700
Design Studio,0801800
Drugstore or Pharmacy,0801900
Electronics Store,0802000
Flea Market,0802100
Flower Shop,0802200
Food & Drink Shop,0802300
Butcher,0802301
Cheese Shop,0802302
Deli or Bodega,0802303
Farmers Market,0802304
Fish Market,0802305
Food Court,0802306
Gourmet Shop,0802307
Grocery Store,0802308
Liquor Store,0802309
Wine Shop,0802310
Furniture or Home Store,0802400
Gaming Cafe,0802500
Gas Station or Garage,0802600
Gift Shop,0802700
Gym or Fitness Center,0802800
Gym Pool,0802801
Gym,0802802
Martial Arts Dojo,0802803
Track,0802804
Yoga Studio,0802805
Hardware Store,0802900
Hobby Shop,0803000
Internet Cafe,0803100
Jewelry Store,0803200
Laundry Service,0803300
Mall,0803400
Miscellaneous Shop,0803500
Mobile Phone Shop,0803600
Music Store,0803700
Nail Salon,0803800
Newsstand,0803900
Paper or Office Supplies Store,0804000
Pet Store,0804100
Photography Lab,0804200
Record Shop,0804300
Recycling Facility,0804400
Salon or Barbershop,0804500
Smoke Shop,0804600
Spa or Massage,0804700
Sporting Goods Shop,0804800
Storage Facility,0804900
Tanning Salon,0805000
Tattoo Parlor,0805100
Thrift or Vintage Store,0805200
Toy or Game Store,0805300
Travel Agency,0805400
Video Game Store,0805500
Video Store,0805600
Travel & Transport,0900000
Airport,0900100
Airport Food Court,0900101
Airport Gate,0900102
Airport Lounge,0900103
Airport Terminal,0900104
Airport Tram,0900105
Plane,0900106
Bike Rental or Bike Share,0900200
Bus Station,0900300
Bus Line,0900301
Embassy/Consulate,0900400
Ferry,0900500
Boat or Ferry,0900501
Pier,0900502
General Travel,0900600
Hotel,0900700
Bed & Breakfast,0900701
Boarding House,0900702
Hostel,0900703
Hotel Bar,0900704
Hotel Pool,0900705
Motel,0900706
Resort,0900707
Roof Deck,0900708
Light Rail,0900800
Moving Target,0900900
Rental Car Location,0901000
Rest Area,0901100
Road,0901200
Subway,0901300
Taxi,0901400
Tourist Information Center,0901500
Train Station,0901600
Platform,0901601
Train,0901602
Travel Lounge,0901700
