 京都駅 (Kyoto Sta.)	34.98560085876146	135.75865745544434	鉄道駅	
JR 京都駅 2・3番ホーム	34.98547340229574	135.7589203119278	鉄道駅	
JR 京都駅 11・12番ホーム	34.98467789366364	135.75846433639526	鉄道駅	
BURDIGALA EXPRESS 京都	34.9854755998227	135.75812369585037	パン屋	
ジェイアール京都伊勢丹	34.985860166130934	135.75757384300232	デパート	
ポータルカフェ	34.985222883836556	135.75799763202667	カフェ	
近鉄 京都駅 (Kintetsu Kyoto Sta.)	34.984669103469834	135.7572090625763	鉄道駅	
京都拉麺小路	34.98577226541974	135.75774550437927	ラーメンまたは麺類店	
The CUBE 京都駅ビル専門店街 (ザ・キューブ)	34.98591070899713	135.75881034135818	デパート	
JR 京都駅 新幹線八条口	34.98453285534514	135.75831413269043	鉄道駅	
JR 京都駅 中央口	34.98616781787691	135.75888812541962	鉄道駅	
博多一幸舎 京都拉麺小路店	34.985743060140585	135.75845461449848	ラーメンまたは麺類店	
JR 京都駅 31・32・33・34番ホーム (嵯峨野・山陰線)	34.98542505668788	135.75709640979767	鉄道駅	
フィゲラス スバコ・ジェイアール京都伊勢丹	34.98530199501175	135.75797617435455	スペイン料理店	
JR 京都駅 13・14番ホーム	34.98451967003071	135.7586145401001	プラットホーム	
近鉄名店街 みやこみち	34.98463394268517	135.75743436813354	モール	
上方ざんまい屋	34.98576347534344	135.75799226760864	ラーメンまたは麺類店	
京都総合観光案内所 京なび Kyo-Navi Tourist info Centre	34.985661055044005	135.7580025176867	旅行全般	
京都駅八条口	34.98451967003071	135.75916171073914	鉄道駅	
はしたて	34.985231673970894	135.757874250412	和食店	
三省堂書店 京都駅店	34.98602278219784	135.75870037078857	書店	
PRONTO 京都駅ビル店	34.98586807719032	135.75852870941162	カフェ	
富山ブラック 麺家いろは 京都駅ビル店	34.98585269142109	135.7579825637626	ラーメンまたは麺類店	
東海道新幹線 京都駅 ホーム	34.98464809561812	135.75758919172182	鉄道駅	
貴和製作所	34.98568717565154	135.75821858854596	ホビーショップ	
近鉄 京都駅 4番ホーム	34.98473502990038	135.75767576694489	プラットホーム	
JR京都駅 八条口高速バス乗り場	34.98432518639635	135.7578970491886	バス停	
ミスタードーナツ 近鉄京都ショップ	34.984589991683094	135.75783401727676	ドーナツ店	
大勝軒 京都拉麺小路店	34.98583599344476	135.75788632035255	ラーメンまたは麺類店	
Cafe Du Monde JR京都駅ビル店	34.98590851148186	135.75818538665771	カフェ	
スペインバル Santres	34.994994	135.759813	バー	
第10長谷ビル	34.99505545292103	135.75973657979793	オフィス	
サントレス	34.994984	135.759815	スペイン料理店	
烏丸五条 バス停	34.996007119499744	135.75904369354248	バス停	
MEGATON 烏丸五条店	34.99586484781376	135.76011657714844	カラオケバー	
TSUTAYA 烏丸五条店	34.995915384502744	135.76017826795578	ビデオ店	
京都五条東洞院郵便局	34.995851	135.76038	郵便局	
スーバーホテル 京都・烏丸五条	34.994525	135.759793	ホテル	
マクドナルド 烏丸五条店	34.996477877716785	135.7599127292633	ファーストフード店	
すき家 烏丸五条店	34.996264	135.759787	ファーストフード店	
スーパーホテル京都・烏丸五条	34.994357	135.759774	ホテル	
尚徳諏訪神社	34.99468711439816	135.75882107019424	神社	
Image Design	34.99553680419922	135.7604522705078	オフィス	
セブンイレブン 烏丸五条店	34.99591099000929	135.76083540916443	コンビニ	
壱壷シアター	34.99448776245117	135.7591552734375	小劇場	
嵐山渡月橋	34.99631841444996	135.75956996863937	旅行全般	
ゆう遊空間京都五条店	34.996243	135.75974120789397	ゲームカフェ	
シタディーン京都 烏丸五条 Citadines Apart Hotel Kyoto	34.99650424449133	135.76064229011536	ホテル	
真宗大谷派 長安寺	34.99678012668133	135.75995872891548	寺院	
そば料理 蕎麦の実 よしむら (soba no mi yoshimura)	34.99644861	135.760086	和食店	
KITTEN COMPANY (キトゥンカンパニー)	34.99607411750977	135.7594459868858	カフェ	
セブンイレブン 京都烏丸六条店	34.994043308930046	135.75951039791107	コンビニ	
ホテルカンラ京都 Hotel Kanra	34.994015	135.759706	ホテル	
坐・和民 京都五条烏丸店	34.99657016139054	135.75921535491943	居酒屋	
書遊	34.995568	135.759585	
壱坪シアター・スワン	34.996520735198594	135.75948666327858	小劇場	
CoCo壱番屋 烏丸五条店	34.99651742787542	135.75990736484528	レストラン	
今西軒	34.995602	135.75893524	デザートショップ	
下京税務署	34.9952725668382	135.76198588745493	建物	
ローソン 烏丸五条店	34.99649985002951	135.7594245672226	コンビニ	
ちゃあしゅうや亀王 四条烏丸店	35.002299235686266	135.75946882367134	ラーメンまたは麺類店	
Starbucks Coffee からすま京都ホテル店	35.00186970634567	135.75941920280457	コーヒーショップ	
成城石井 四条烏丸店	35.001860097625396	135.7594079861271	食料品店 / スーパーマーケット	
番屋	35.00237064060103	135.75934410095215	居酒屋	
たんとと和くら 烏丸店	35.00235196547551	135.75941249728203	簡易食堂	
COCON KARASUMA	35.00309127748352	135.75932800769806	建物	
からすま京都ホテル (Karasuma Kyoto Hotel)	35.001922436411725	135.75924217700958	ホテル	
鈴屋大人偶講学旧地の石碑	35.0025586766104	135.75985691044136	史跡	
新風館	35.00952399866156	135.76011657714844	モール	
大原簿記法律専門学校京都校	35.001678	135.759656	カレッジ & 大学全般	
TAC京都校 4F喫煙所	35.00255842452958	135.75898220614934	カレッジ & 大学	
HUB 四条烏丸店	35.003045139336706	135.75945541262627	パブ	
コトチカ四条	35.003267041613974	135.75967669487	モール	
kara-S	35.002979	135.759448	アートギャラリー	
京都シネマ	35.003044	135.759429	映画館	
